version,summary_file,report_file,status,rows,columns
V1,attachment_emotion_experiment_summary.csv,attachment_emotion_experiment_report.md,CORE_SOURCE_PRESERVED_AGGREGATOR_PENDING,3,8
V2,attachment_one_variable_v2_summary.csv,attachment_one_variable_v2_report.md,OUTPUT_PRESERVED_SOURCE_PENDING,6,3
V3,attachment_anger_v3_summary.csv,attachment_anger_v3_report.md,SUPERSEDED_BUT_RETAINED,20,6
V3.1,attachment_anger_v3_1_corrected_summary.csv,attachment_anger_v3_1_corrected_report.md,OUTPUT_PRESERVED_SOURCE_PENDING,20,7
V4,attachment_emotion_v4_summary.csv,attachment_emotion_v4_report.md,OUTPUT_PRESERVED_SOURCE_PENDING,3,6
V5,attachment_emotion_v5_resentment_metrics.csv,attachment_emotion_v5_report.md,SUPERSEDED_BUT_RETAINED,12,9
V5.1,attachment_emotion_v5_1_metrics.csv,attachment_emotion_v5_1_report.md,RECONSTRUCTED_AND_VALIDATED,12,8
V6,attachment_emotion_v6_betrayal_metrics.csv,attachment_emotion_v6_report.md,RECONSTRUCTED_AND_VALIDATED,3,10
V7,attachment_emotion_v7_self_model_summary.csv,attachment_emotion_v7_report.md,SUPERSEDED_BUT_RETAINED,5,11
V7.1,attachment_emotion_v7_1_summary.csv,attachment_emotion_v7_1_report.md,RECONSTRUCTED_AND_VALIDATED,5,9
V8,attachment_emotion_v8_body_metrics.csv,attachment_emotion_v8_report.md,SUPERSEDED_BUT_RETAINED,4,10
V8.1,attachment_emotion_v8_1_closed_loop_metrics.csv,attachment_emotion_v8_1_report.md,RECONSTRUCTED_AND_VALIDATED,3,12
