attachment,scenario,goal_repair_rate,actor_directed_rate,confront_rate,sanction_rate,wait_rate
0.0,natural_obstruction,0.5525,0.0,0.0,0.0,0.4475
0.0,accidental_actor,0.510375,0.10875,0.087,0.02175,0.380875
0.0,intentional_justified,0.53275,0.0275,0.02575,0.00175,0.43975
0.0,intentional_unjustified,0.30875,0.437125,0.235,0.202125,0.254125
0.25,natural_obstruction,0.746875,0.0,0.0,0.0,0.253125
0.25,accidental_actor,0.66625,0.101875,0.08225,0.019625,0.231875
0.25,intentional_justified,0.734875,0.02925,0.027625,0.001625,0.235875
0.25,intentional_unjustified,0.379125,0.490375,0.263,0.227375,0.1305
0.5,natural_obstruction,0.878,0.0,0.0,0.0,0.122
0.5,accidental_actor,0.8125,0.078125,0.066875,0.01125,0.109375
0.5,intentional_justified,0.857375,0.028875,0.026375,0.0025,0.11375
0.5,intentional_unjustified,0.44125,0.495,0.25875,0.23625,0.06375
0.75,natural_obstruction,0.942875,0.0,0.0,0.0,0.057125
0.75,accidental_actor,0.888125,0.057125,0.049,0.008125,0.05475
0.75,intentional_justified,0.918375,0.0275,0.026125,0.001375,0.054125
0.75,intentional_unjustified,0.497625,0.475875,0.24325,0.232625,0.0265
1.0,natural_obstruction,0.97675,0.0,0.0,0.0,0.02325
1.0,accidental_actor,0.937375,0.0385,0.03375,0.00475,0.024125
1.0,intentional_justified,0.958125,0.0215,0.020625,0.000875,0.020375
1.0,intentional_unjustified,0.534375,0.454125,0.21975,0.234375,0.0115
